# SIPES, Base de Titulos Universitarios (DNGU), https://sipes.siu.edu.ar/buscar_titulos_form.php . Todas las paginas del buscador para las cinco instituciones, consultado el 2026-09-08 (hora de Argentina, noche del 7) con el formulario y su paginado. UTN es la universidad entera (no se puede filtrar por Facultad Regional); Siglo 21 dicta a distancia.
cod_institucion,institucion,titulo,carrera,resolucion_reconocimiento_oficial,modalidad,nivel
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CARDIOLOGÍA,ESPECIALIZACIÓN EN CARDIOLOGÍA,R.M./677/2021,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CARDIOLOGÍA,ESPECIALIZACIÓN EN CARDIOLOGÍA,R.M./3325/2021,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CARDIOLOGÍA,ESPECIALIZACIÓN EN CARDIOLOGÍA,R.M./2191/2021,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CARDIOLOGÍA,ESPECIALIZACIÓN EN CARDIOLOGÍA,R.M./3523/2021,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CARDIOLOGÍA,ESPECIALIZACIÓN EN CARDIOLOGÍA,D./584/2025,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CARDIOLOGÍA,ESPECIALIZACIÓN EN CARDIOLOGÍA,R.M./1732/2021,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CIRUGÍA Y TRAUMATOLOGÍA BUCO-MÁXILO-FACIAL,ESPECIALIZACIÓN EN CIRUGÍA Y TRAUMATOLOGÍA BUCO-MÁXILO-FACIAL,R.M./663/2024,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CIRUGÍA Y TRAUMATOLOGÍA BUCO-MÁXILO-FACIAL,ESPECIALIZACIÓN EN CIRUGÍA Y TRAUMATOLOGÍA BUCO-MÁXILO-FACIAL,R.M./2459/2013,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CITRICULTURA,ESPECIALIZACIÓN EN CITRICULTURA,R.M./1420/2022,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN COMERCIO INTERNACIONAL,ESPECIALIZACIÓN EN COMERCIO INTERNACIONAL,R.M./307/2023,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN COSTOS Y GESTIÓN EMPRESARIAL,ESPECIALIZACIÓN EN COSTOS Y GESTIÓN EMPRESARIAL,D./1211/2025,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN COSTOS Y GESTIÓN EMPRESARIAL,ESPECIALIZACIÓN EN COSTOS Y GESTIÓN EMPRESARIAL,R.M./1378/2012 - R.M./3474/2017,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN COSTOS Y GESTIÓN EMPRESARIAL,ESPECIALIZACIÓN EN COSTOS Y GESTIÓN EMPRESARIAL,R.M./396/2023,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN CULTURAS DEL NOROESTE ARGENTINO,ESPECIALIZACION EN CULTURAS DEL NOROESTE ARGENTINO,R.M./2819/2022,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN DERECHO ADMINISTRATIVO,ESPECIALIZACIÓN EN DERECHO ADMINISTRATIVO,R.M./4361/2017,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN DERECHO ADMINISTRATIVO, ,R.M.0465/10,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN DERECHO DE DAÑOS,ESPECIALIZACIÓN EN DERECHO DE DAÑOS,R.M./506/2018,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN DERECHO DE DAÑOS,ESPECIALIZACIÓN EN DERECHO DE DAÑOS,D./950/2025,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN DERECHO PENAL,ESPECIALIZACIÓN EN DERECHO PENAL,R.M./1075/2018,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN DERECHO PENAL, ,R.M.0225/10,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN DERECHO PENAL,ESPECIALIZACIÓN EN DERECHO PENAL,D./895/2025,PRESENCIAL,Posgrado
